MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5160.0,0.0,1593776.0,-2,0.0,0.0,390.0,0.0,169454.4,0.0,10631.4,0.0,0.0,0.0,239066.4,-0.3,589697.12,-1.18,1008847.84
FEV,5605.0,0.0,1647589.0,-3,0.0,0.0,0.0,0.0,184068.2,0.0,0.0,0.0,0.0,0.0,247138.35,-0.45,609607.93,-1.77,1040812.26
MAR,5605.0,0.0,1773552.0,-3,0.0,0.0,0.0,0.0,184068.2,0.0,0.0,0.0,0.0,0.0,266032.8,-0.45,656214.24,-1.77,1106313.02
ABR,4477.0,0.0,1358641.0,-2,0.0,0.0,1073.0,0.0,147024.68,0.0,29249.98,0.0,0.0,0.0,203796.15,-0.3,502697.17,-1.18,882766.5
MAI,4483.0,0.0,1421121.0,-3,0.0,0.0,1067.0,0.0,147221.72,0.0,29086.42,0.0,0.0,0.0,213168.15,-0.45,525814.77,-1.77,915288.84
JUN,4909.0,0.0,1598183.0,-2,0.0,0.0,641.0,0.0,161211.56,0.0,17473.66,0.0,0.0,0.0,239727.45,-0.3,591327.71,-1.18,1009738.9
JUL,5166.0,26.0,1597595.0,4,0.0,26.0,384.0,0.0,169651.44,2166.84,10467.84,0.0,0.0,4333.68,239639.25,0.6,591110.15,2.36,1017372.16
AGO,4484.0,0.0,1492505.0,-1,0.0,0.0,1066.0,0.0,147254.56,0.0,29059.16,0.0,0.0,0.0,223875.75,-0.15,552226.85,-0.59,952415.58
SET,4482.0,0.0,1397643.0,-1,0.0,0.0,1068.0,0.0,147188.88,0.0,29113.68,0.0,0.0,0.0,209646.45,-0.15,517127.91,-0.59,903076.18
OUT,4484.0,0.0,1437353.0,-2,0.0,0.0,1066.0,0.0,147254.56,0.0,29059.16,0.0,0.0,0.0,215602.95,-0.3,531820.61,-1.18,923735.8
NOV,5605.0,0.0,1531242.0,-3,0.0,0.0,0.0,0.0,184068.2,0.0,0.0,0.0,0.0,0.0,229686.3,-0.45,566559.54,-1.77,980311.82
DEZ,5604.0,0.0,1552228.0,-3,0.0,0.0,0.0,0.0,184035.36,0.0,0.0,0.0,0.0,0.0,232834.2,-0.45,574324.36,-1.77,991191.7
TOTAIS,5605.0,26.0,18401428.0,-21,0.0,26.0,1073.0,0.0,1972501.7600000002,2166.84,184141.3,0.0,0.0,4333.68,2760214.1999999997,-3.1500000000000004,6808528.36,-12.389999999999999,11731870.6
CTOTAL,,,18401407.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,11731870.6
DCFP,5550.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,5550.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,4440.0,,,,,,,,,,,,,,,,,,
