Mes,Posto,N_pontos_SIM32,Consumo_P_SIM32_kWh,Injecao_P_SIM32_kWh,Consumo_Q_SIM32_kVArh,DemandaMax_P_SIM32_kW,DemandaMax_Inj_SIM32_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1115947.00913275,87.48116075,157274.1009,4096.79,83.4306,2712
JANEIRO,PONTA,264,111501.01150000001,0.0,12527.714575,2176.353,0.0,264
FEVEREIRO,FORA_PONTA,2448,1232245.2616,0.0,164381.1479,4908.81,0.0,2448
FEVEREIRO,PONTA,240,118282.97350000001,0.0,13406.3255,2537.279,0.0,240
MARCO,FORA_PONTA,2736,1321855.656175,0.0,163386.48725,5210.67,0.0,2736
MARCO,PONTA,240,135867.06075,0.0,12640.27715,3000.275,0.0,240
ABRIL,FORA_PONTA,2640,978764.331793,941.221514075,98582.4666425,3537.8500000000004,203.3927,2640
ABRIL,PONTA,240,116990.52375000001,0.0,7798.5729,2333.121,0.0,240
MAIO,FORA_PONTA,2724,1074092.863005075,25.9259025,84272.756325,3530.2200000000003,34.4634,2724
MAIO,PONTA,252,128492.447,0.0,7168.4396725,2782.811,0.0,252
JUNHO,FORA_PONTA,2640,1266245.471125,0.0,71615.23966,4673.87,0.0,2640
JUNHO,PONTA,240,139146.7995,0.0,5930.4471,2938.206,0.0,240
JULHO,FORA_PONTA,2700,1223678.7960125,31.396832500000002,60154.461036825,4526.66,48.8261,2700
JULHO,PONTA,276,141539.07425,0.0,5529.41242,3521.0200000000004,0.0,276
AGOSTO,FORA_PONTA,2724,1118423.5807655,54.983995,66165.94363525,3547.5,53.9162,2724
AGOSTO,PONTA,252,131955.93875,0.0,6710.6643625,2634.794,0.0,252
SETEMBRO,FORA_PONTA,2616,1001613.67655,0.0,76283.172865,3008.71,0.0,2616
SETEMBRO,PONTA,264,129659.167,0.0,7737.1602,2310.92,0.0,264
OUTUBRO,FORA_PONTA,2700,999817.27289,337.8866025,96321.861775,3737.01,134.81040000000002,2700
OUTUBRO,PONTA,276,132957.424,0.0,9788.312525,2455.075,0.0,276
NOVEMBRO,FORA_PONTA,2652,1071282.0945875,391.435375,117583.046675,5031.33,190.147,2652
NOVEMBRO,PONTA,228,121302.50925,0.0,10577.0731,3105.83,0.0,228
DEZEMBRO,FORA_PONTA,2712,1107551.0870975,19.42285,133301.119575,4947.12,77.6914,2712
DEZEMBRO,PONTA,264,122530.22875,0.0,13429.238125,2872.932,0.0,264
