MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5123.0,1082.0,1513149.0,29287,0.0,0.0,427.0,868.0,168239.32,90173.88,11640.02,60039.56,0.0,0.0,226972.35,4393.05,559865.13,17279.33,1138602.64
FEV,5605.0,1424.0,1560046.0,42408,0.0,0.0,0.0,526.0,184068.2,118676.16,0.0,36383.42,0.0,0.0,234006.9,6361.2,577217.02,25020.72,1181733.62
MAR,5604.0,1783.0,1667398.0,58529,0.0,0.0,0.0,167.0,184035.36,148595.22,0.0,11551.39,0.0,0.0,250109.7,8779.35,616937.26,34532.11,1254540.39
ABR,3886.0,989.0,1275190.0,36352,0.0,0.0,1664.0,961.0,127616.24,82423.26,45360.64,66472.37,0.0,0.0,191278.5,5452.8,471820.3,21447.68,1011871.79
MAI,3846.0,1437.0,1330217.0,43811,0.0,0.0,1704.0,513.0,126302.64,119759.58,46451.04,35484.21,0.0,0.0,199532.55,6571.65,492180.29,25848.49,1052130.45
JUN,4873.0,1593.0,1492309.0,58469,0.0,0.0,677.0,357.0,160029.32,132760.62,18455.02,24693.69,0.0,0.0,223846.35,8770.35,552154.33,34496.71,1155206.39
JUL,5130.0,2175.0,1494261.0,48785,0.0,225.0,420.0,0.0,168469.2,181264.5,11449.2,0.0,0.0,37503.0,224139.15,7317.75,552876.57,28783.15,1211802.52
AGO,3850.0,1290.0,1396618.0,47668,0.0,0.0,1700.0,660.0,126434.0,107508.6,46342.0,45652.2,0.0,0.0,209492.7,7150.2,516748.66,28124.12,1087452.48
SET,3534.0,967.0,1306186.0,41472,0.0,0.0,2016.0,983.0,116056.56,80589.78,54956.16,67994.11,0.0,0.0,195927.9,6220.8,483288.82,24468.48,1029502.61
OUT,4341.0,1208.0,1347261.0,42312,0.0,0.0,1209.0,742.0,142558.44,100674.72,32957.34,51324.14,0.0,0.0,202089.15,6346.8,498486.57,24964.08,1059401.24
NOV,5603.0,2093.0,1437429.0,47605,0.0,143.0,0.0,0.0,184002.52,174430.62,0.0,0.0,0.0,23835.24,215614.35,7140.75,531848.73,28086.95,1164959.16
DEZ,5599.0,1900.0,1466818.0,38805,0.0,0.0,0.0,50.0,183871.16,158346.0,0.0,3458.5,0.0,0.0,220022.7,5820.75,542722.66,22894.95,1137136.72
TOTAIS,5605.0,2175.0,17286882.0,535503,0.0,225.0,2016.0,983.0,1871682.96,1495202.94,267611.42,403053.58999999997,0.0,61338.240000000005,2593032.3000000003,80325.45000000001,6396146.34,315946.77,13484340.01
CTOTAL,,,17822385.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,13484340.01
DCFP,5550.0,,,,,,,,,,,,,,,,,,
DCP,,1950.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,5550.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,4440.0,,,,,,,,,,,,,,,,,,
